id,fy_year,Taxable_Income_percentile,avg_tax_rate,avg_tax_bill,total_tax_bn,min_income,max_income,avg_income,facet,Financial year ending,label
Baseline,2027-28,1,0,0,0,0,0,0,Baseline,2028,
Baseline,2027-28,2,0,0,0,0,187,37.1535608308605,Baseline,2028,
Baseline,2027-28,3,0,0,0,187,825,508.557656655543,Baseline,2028,
Baseline,2027-28,4,0,0,0,825,1978,1321.05934718101,Baseline,2028,
Baseline,2027-28,5,0,0,0,1978,3554,2742.58642433234,Baseline,2028,
Baseline,2027-28,6,0,0,0,3555,5216,4373.62736373749,Baseline,2028,
Baseline,2027-28,7,0,0,0,5216,6965,6078.43137982196,Baseline,2028,
Baseline,2027-28,8,0,0,0,6965,8615,7793.16425658139,Baseline,2028,
Baseline,2027-28,9,0,0,0,8615,10243,9410.21995548961,Baseline,2028,
Baseline,2027-28,10,0,0,0,10245,11754,11015.9462166172,Baseline,2028,
Baseline,2027-28,11,0,0,0,11754,13203,12507.4790507972,Baseline,2028,
Baseline,2027-28,12,0,0,0,13205,14583,13888.0764094956,Baseline,2028,
Baseline,2027-28,13,0,0,0,14584,15858,15225.1193919169,Baseline,2028,
Baseline,2027-28,14,0,0,0,15859,17177,16519.1194362018,Baseline,2028,
Baseline,2027-28,15,0,0,0,17177,18424,17789.9770029674,Baseline,2028,
Baseline,2027-28,16,0,0,0,18425,19622,19014.9629217649,Baseline,2028,
Baseline,2027-28,17,0,4.31379821958457,0.001,19623,20804,20223.6550445104,Baseline,2028,
Baseline,2027-28,18,0.006,133.244345569151,0.022,20805,22031,21421.2146829811,Baseline,2028,
Baseline,2027-28,19,0.014,325.209569732938,0.053,22031,23288,22672.9799703264,Baseline,2028,
Baseline,2027-28,20,0.021,502.406899109792,0.083,23289,24500,23867.9721810089,Baseline,2028,
Baseline,2027-28,21,0.028,701.108268446422,0.115,24500,25718,25123.8843159066,Baseline,2028,
Baseline,2027-28,22,0.035,926.834569732938,0.152,25718,26889,26313.0148367953,Baseline,2028,
Baseline,2027-28,23,0.044,1201.68434718101,0.197,26890,28025,27467.0014836795,Baseline,2028,
Baseline,2027-28,24,0.052,1497.75157582499,0.246,28026,29097,28572.014831294,Baseline,2028,
Baseline,2027-28,25,0.06,1785.2559347181,0.293,29097,30207,29658.340504451,Baseline,2028,
Baseline,2027-28,26,0.067,2050.20615498702,0.337,30207,31369,30786.8609566185,Baseline,2028,
Baseline,2027-28,27,0.075,2387.28857566766,0.392,31370,32418,31897.9484421365,Baseline,2028,
Baseline,2027-28,28,0.081,2670.27114243323,0.439,32419,33448,32924.9432492582,Baseline,2028,
Baseline,2027-28,29,0.084,2848.63032999629,0.468,33448,34559,34001.5517241379,Baseline,2028,
Baseline,2027-28,30,0.088,3099.48330860534,0.509,34560,35698,35119.8067507418,Baseline,2028,
Baseline,2027-28,31,0.093,3385.52428624398,0.557,35698,36841,36260.8765294772,Baseline,2028,
Baseline,2027-28,32,0.1,3739.35979228487,0.614,36842,38030,37433.1576409496,Baseline,2028,
Baseline,2027-28,33,0.108,4189.62945103858,0.688,38031,39254,38645.0014836795,Baseline,2028,
Baseline,2027-28,34,0.116,4622.91101223582,0.76,39254,40463,39848.4041527623,Baseline,2028,
Baseline,2027-28,35,0.124,5098.51149851632,0.838,40463,41702,41091.1231454006,Baseline,2028,
Baseline,2027-28,36,0.132,5568.13978494624,0.915,41703,42943,42332.2109751576,Baseline,2028,
Baseline,2027-28,37,0.139,6072.57381305638,0.998,42944,44193,43561.6275964392,Baseline,2028,
Baseline,2027-28,38,0.146,6544.46995548961,1.075,44193,45421,44808.662462908,Baseline,2028,
Baseline,2027-28,39,0.152,7008.12309974045,1.152,45421,46644,46033.1019651465,Baseline,2028,
Baseline,2027-28,40,0.158,7468.69324925816,1.227,46644,47853,47252.1097922849,Baseline,2028,
Baseline,2027-28,41,0.164,7931.22181008902,1.303,47853,49082,48482.603115727,Baseline,2028,
Baseline,2027-28,42,0.169,8388.70337411939,1.379,49082,50262,49673.6725991843,Baseline,2028,
Baseline,2027-28,43,0.173,8822.95994065282,1.45,50263,51432,50857.9362017804,Baseline,2028,
Baseline,2027-28,44,0.178,9258.2703003337,1.522,51432,52637,52030.070819429,Baseline,2028,
Baseline,2027-28,45,0.182,9692.94992581602,1.593,52638,53860,53253.7700296736,Baseline,2028,
Baseline,2027-28,46,0.186,10130.4988872404,1.665,53860,55031,54450.0919881306,Baseline,2028,
Baseline,2027-28,47,0.19,10546.4215795328,1.734,55031,56218,55617.1961438636,Baseline,2028,
Baseline,2027-28,48,0.193,10984.5678783383,1.805,56218,57453,56833.896884273,Baseline,2028,
Baseline,2027-28,49,0.197,11423.8053392659,1.878,57453,58643,58058.6243974787,Baseline,2028,
Baseline,2027-28,50,0.2,11855.7704005935,1.948,58644,59867,59257.4265578635,Baseline,2028,Baseline
Baseline,2027-28,51,0.203,12295.6787833828,2.021,59867,61085,60465.7143916914,Baseline,2028,
Baseline,2027-28,52,0.206,12737.5101965146,2.094,61085,62337,61705.6996662959,Baseline,2028,
Baseline,2027-28,53,0.21,13196.5697329377,2.169,62337,63635,62978.7429525223,Baseline,2028,
Baseline,2027-28,54,0.213,13665.9558769003,2.247,63635,64947,64284.1486837227,Baseline,2028,
Baseline,2027-28,55,0.216,14149.9161721068,2.325,64947,66347,65643.1639465875,Baseline,2028,
Baseline,2027-28,56,0.219,14656.4165430267,2.409,66348,67749,67051.300074184,Baseline,2028,
Baseline,2027-28,57,0.221,15145.766407119,2.49,67749,69175,68452.3344456804,Baseline,2028,
Baseline,2027-28,58,0.224,15642.8690652819,2.571,69175,70643,69902.8790801187,Baseline,2028,
Baseline,2027-28,59,0.226,16158.3911753801,2.656,70643,72134,71387.212458287,Baseline,2028,
Baseline,2027-28,60,0.229,16685.3108308605,2.742,72134,73737,72926.7993323442,Baseline,2028,
Baseline,2027-28,61,0.231,17245.1691394659,2.834,73738,75344,74534.4146884273,Baseline,2028,
Baseline,2027-28,62,0.234,17809.6551724138,2.928,75344,77012,76176.2220986281,Baseline,2028,
Baseline,2027-28,63,0.236,18389.5159495549,3.022,77014,78701,77860.1984421365,Baseline,2028,
Baseline,2027-28,64,0.239,18984.881305638,3.12,78701,80455,79576.6965875371,Baseline,2028,
Baseline,2027-28,65,0.241,19586.7148683723,3.22,80455,82224,81335.1349647757,Baseline,2028,
Baseline,2027-28,66,0.243,20204.6183234421,3.32,82225,84054,83121.0055637982,Baseline,2028,
Baseline,2027-28,67,0.245,20874.4935113089,3.432,84054,86031,85045.4519836856,Baseline,2028,
Baseline,2027-28,68,0.248,21559.3060089021,3.543,86031,87980,87003.2010385757,Baseline,2028,
Baseline,2027-28,69,0.251,22324.2377596439,3.669,87981,90035,88997.1513353116,Baseline,2028,
Baseline,2027-28,70,0.254,23116.6759362254,3.8,90036,92019,91023.0608083055,Baseline,2028,
Baseline,2027-28,71,0.257,23921.0152077151,3.931,92020,94160,93082.8041543027,Baseline,2028,
Baseline,2027-28,72,0.26,24793.3685576567,4.076,94160,96474,95314.0152020764,Baseline,2028,
Baseline,2027-28,73,0.263,25679.7240356083,4.22,96476,98710,97586.6876854599,Baseline,2028,
Baseline,2027-28,74,0.266,26562.0949554896,4.365,98710,101030,99851.4172848665,Baseline,2028,
Baseline,2027-28,75,0.269,27503.1379310345,4.521,101031,103540,102265.783092325,Baseline,2028,
Baseline,2027-28,76,0.272,28508.0293026706,4.685,103540,106155,104842.324183976,Baseline,2028,
Baseline,2027-28,77,0.275,29519.219873934,4.853,106156,108769,107437.689655172,Baseline,2028,
Baseline,2027-28,78,0.278,30574.6962166172,5.024,108769,111548,110134.369065282,Baseline,2028,
Baseline,2027-28,79,0.28,31712.7496290801,5.211,111549,114540,113060.139465875,Baseline,2028,
Baseline,2027-28,80,0.283,32858.3444568039,5.402,114541,117506,115991.541342232,Baseline,2028,
Baseline,2027-28,81,0.286,34062.5459940653,5.598,117507,120716,119080.079005935,Baseline,2028,
Baseline,2027-28,82,0.289,35363.4810830861,5.811,120716,124129,122408.448071217,Baseline,2028,
Baseline,2027-28,83,0.292,36748.1649981461,6.041,124129,127852,125968.108268446,Baseline,2028,
Baseline,2027-28,84,0.295,38254.2633531157,6.286,127854,131859,129828.131676558,Baseline,2028,
Baseline,2027-28,85,0.298,39836.3589173155,6.549,131859,136091,133884.267704857,Baseline,2028,
Baseline,2027-28,86,0.301,41575.8831602374,6.832,136093,140617,138346.09235905,Baseline,2028,
Baseline,2027-28,87,0.303,43417.6420623145,7.135,140617,145580,143065.254451039,Baseline,2028,
Baseline,2027-28,88,0.307,45459.7022617724,7.473,145580,151145,148305.47793845,Baseline,2028,
Baseline,2027-28,89,0.31,47699.4484421365,7.839,151146,157164,154047.730341246,Baseline,2028,
Baseline,2027-28,90,0.313,50252.4912866148,8.261,157166,164182,160594.307378569,Baseline,2028,
Baseline,2027-28,91,0.316,53114.0982937686,8.728,164186,171867,167933.628709199,Baseline,2028,
Baseline,2027-28,92,0.32,56481.0819732938,9.282,171868,181177,176532.598293769,Baseline,2028,
Baseline,2027-28,93,0.326,60912.70189099,10.014,181178,192524,186585.433073786,Baseline,2028,
Baseline,2027-28,94,0.335,66754.5096439169,10.97,192526,205854,199012.498145401,Baseline,2028,
Baseline,2027-28,95,0.345,73946.0003707824,12.156,205866,223406,214314.493511309,Baseline,2028,
Baseline,2027-28,96,0.355,82921.3201038576,13.627,223409,244389,233416.533382789,Baseline,2028,
Baseline,2027-28,97,0.366,94084.2006676558,15.461,244405,271460,257161.663204748,Baseline,2028,
Baseline,2027-28,98,0.377,109460.32183908,17.995,271461,312210,289883.550241009,Baseline,2028,
Baseline,2027-28,99,0.396,145334.338278932,23.883,312214,462889,366244.487759644,Baseline,2028,
Baseline,2027-28,100,0.427,352912.946958457,57.995,462909,5079659,807954.5615727,Baseline,2028,
Budget2018,2027-28,1,0,0,0,0,0,0,Budget 2018,2028,
Budget2018,2027-28,2,0,0,0,0,187,37.1535608308605,Budget 2018,2028,
Budget2018,2027-28,3,0,0,0,187,825,508.557656655543,Budget 2018,2028,
Budget2018,2027-28,4,0,0,0,825,1978,1321.05934718101,Budget 2018,2028,
Budget2018,2027-28,5,0,0,0,1978,3554,2742.58642433234,Budget 2018,2028,
Budget2018,2027-28,6,0,0,0,3555,5216,4373.62736373749,Budget 2018,2028,
Budget2018,2027-28,7,0,0,0,5216,6965,6078.43137982196,Budget 2018,2028,
Budget2018,2027-28,8,0,0,0,6965,8615,7793.16425658139,Budget 2018,2028,
Budget2018,2027-28,9,0,0,0,8615,10243,9410.21995548961,Budget 2018,2028,
Budget2018,2027-28,10,0,0,0,10245,11754,11015.9462166172,Budget 2018,2028,
Budget2018,2027-28,11,0,0,0,11754,13203,12507.4790507972,Budget 2018,2028,
Budget2018,2027-28,12,0,0,0,13205,14583,13888.0764094956,Budget 2018,2028,
Budget2018,2027-28,13,0,0,0,14584,15858,15225.1193919169,Budget 2018,2028,
Budget2018,2027-28,14,0,0,0,15859,17177,16519.1194362018,Budget 2018,2028,
Budget2018,2027-28,15,0,0,0,17177,18424,17789.9770029674,Budget 2018,2028,
Budget2018,2027-28,16,0,0,0,18425,19622,19014.9629217649,Budget 2018,2028,
Budget2018,2027-28,17,0,0,0,19623,20804,20223.6550445104,Budget 2018,2028,
Budget2018,2027-28,18,0.001,12.1060437523174,0.002,20805,22031,21421.2146829811,Budget 2018,2028,
Budget2018,2027-28,19,0.007,164.897997032641,0.027,22031,23288,22672.9799703264,Budget 2018,2028,
Budget2018,2027-28,20,0.014,343.393545994065,0.056,23289,24500,23867.9721810089,Budget 2018,2028,
Budget2018,2027-28,21,0.021,539.977753058954,0.089,24500,25718,25123.8843159066,Budget 2018,2028,
Budget2018,2027-28,22,0.029,760.722922848665,0.125,25718,26889,26313.0148367953,Budget 2018,2028,
Budget2018,2027-28,23,0.038,1035.00482195846,0.17,26890,28025,27467.0014836795,Budget 2018,2028,
Budget2018,2027-28,24,0.046,1327.62921764924,0.218,28026,29097,28572.014831294,Budget 2018,2028,
Budget2018,2027-28,25,0.054,1613.2043768546,0.265,29097,30207,29658.340504451,Budget 2018,2028,
Budget2018,2027-28,26,0.061,1879.18613274008,0.309,30207,31369,30786.8609566185,Budget 2018,2028,
Budget2018,2027-28,27,0.069,2211.40838278932,0.363,31370,32418,31897.9484421365,Budget 2018,2028,
Budget2018,2027-28,28,0.075,2476.03412462908,0.407,32419,33448,32924.9432492582,Budget 2018,2028,
Budget2018,2027-28,29,0.078,2649.61698183167,0.436,33448,34559,34001.5517241379,Budget 2018,2028,
Budget2018,2027-28,30,0.083,2900.61943620178,0.477,34560,35698,35119.8067507418,Budget 2018,2028,
Budget2018,2027-28,31,0.088,3186.4653318502,0.524,35698,36841,36260.8765294772,Budget 2018,2028,
Budget2018,2027-28,32,0.094,3502.95066765579,0.576,36842,38030,37433.1576409496,Budget 2018,2028,
Budget2018,2027-28,33,0.1,3851.39910979229,0.633,38031,39254,38645.0014836795,Budget 2018,2028,
Budget2018,2027-28,34,0.105,4183.01149425287,0.688,39254,40463,39848.4041527623,Budget 2018,2028,
Budget2018,2027-28,35,0.111,4570.62054896142,0.751,40463,41702,41091.1231454006,Budget 2018,2028,
Budget2018,2027-28,36,0.119,5030.60252131999,0.827,41703,42943,42332.2109751576,Budget 2018,2028,
Budget2018,2027-28,37,0.127,5535.12314540059,0.91,42944,44193,43561.6275964392,Budget 2018,2028,
Budget2018,2027-28,38,0.134,6006.4881305638,0.987,44193,45421,44808.662462908,Budget 2018,2028,
Budget2018,2027-28,39,0.141,6469.85057471264,1.064,45421,46644,46033.1019651465,Budget 2018,2028,
Budget2018,2027-28,40,0.147,6930.68954005935,1.139,46644,47853,47252.1097922849,Budget 2018,2028,
Budget2018,2027-28,41,0.152,7392.71587537092,1.215,47853,49082,48482.603115727,Budget 2018,2028,
Budget2018,2027-28,42,0.158,7850.10011123471,1.291,49082,50262,49673.6725991843,Budget 2018,2028,
Budget2018,2027-28,43,0.163,8284.7043768546,1.361,50263,51432,50857.9362017804,Budget 2018,2028,
Budget2018,2027-28,44,0.168,8719.59399332592,1.433,51432,52637,52030.070819429,Budget 2018,2028,
Budget2018,2027-28,45,0.172,9154.57492581602,1.504,52638,53860,53253.7700296736,Budget 2018,2028,
Budget2018,2027-28,46,0.176,9591.66913946588,1.576,53860,55031,54450.0919881306,Budget 2018,2028,
Budget2018,2027-28,47,0.18,10007.7919911012,1.645,55031,56218,55617.1961438636,Budget 2018,2028,
Budget2018,2027-28,48,0.184,10445.8393916914,1.717,56218,57453,56833.896884273,Budget 2018,2028,
Budget2018,2027-28,49,0.187,10885.1742677049,1.789,57453,58643,58058.6243974787,Budget 2018,2028,
